name_common,age,mlb_ID,player_ID,year_ID,stint_ID,team_ID,lg_ID,pitcher,salary,OPS_plus,WAR,sumWAR,avgOPSplus,adjusted_sal
Andy Allanson,25.0,110137.0,allanan01,1987,1,CLE,AL,N,75000.0,74.702,0.19,0.19,74.702,156481.2940140845
Andy Allanson,26.0,110137.0,allanan01,1988,1,CLE,AL,N,102500.0,75.0395,1.72,1.72,75.0395,205361.30600169062
Andy Allanson,27.0,110137.0,allanan01,1989,1,CLE,AL,N,235000.0,64.6795,0.22,0.22,64.6795,449185.4435483871
Andy Allanson,29.0,110137.0,allanan01,1991,1,DET,AL,N,100000.0,60.0222,0.24,0.24,60.0222,174021.2922173275
Andy Allanson,31.0,110137.0,allanan01,1993,1,SFG,NL,N,120000.0,11.8405,-0.16,-0.16,11.8405,196830.7266435986
Andy Allanson,33.0,110137.0,allanan01,1995,1,LAA,AL,N,150000.0,45.8965,-0.24,-0.24,45.8965,233284.44881889762
Brandon Allen,23.0,450315.0,allenbr01,2009,1,ARI,NL,N,400000.0,71.5157,-0.92,-0.92,71.5157,441913.51608347276
Brandon Allen,26.0,450315.0,allenbr01,2012,2,TBR,AL,N,482500.0,80.4545,-0.12,-0.12,-9.772750000000002,498099.6999050498
Chad Allen,24.0,150210.0,allench01,1999,1,MIN,AL,N,200000.0,82.2487,-0.83,-0.83,82.2487,284534.2136854742
Chad Allen,26.0,150210.0,allench01,2001,1,MIN,AL,N,240000.0,98.8139,-0.03,-0.03,98.8139,321197.5155279503
Chad Allen,30.0,150210.0,allench01,2005,1,TEX,AL,N,380000.0,69.143,-0.27,-0.27,69.143,461169.7900665642
Dusty Allen,27.0,284569.0,allendu01,2000,1,SDP,NL,N,200000.0,-57.8947,-0.28,0.06,102.79575,275281.06852497096
Jermaine Allensworth,24.0,110165.0,allenje01,1996,1,PIT,NL,N,109000.0,87.11,-0.39,-0.39,87.11,164658.0815806246
Jermaine Allensworth,25.0,110165.0,allenje01,1997,1,PIT,NL,N,160000.0,77.0226,-0.99,-0.99,77.0226,236278.6292834891
Jermaine Allensworth,26.0,110165.0,allenje01,1998,1,PIT,NL,N,260000.0,108.981,1.63,1.27,74.41586666666666,378063.9263803681
Jermaine Allensworth,27.0,110165.0,allenje01,1999,1,NYM,NL,N,284000.0,73.6865,0.03,0.03,73.6865,404038.58343337337
Beau Allred,25.0,110177.0,allrebe01,1990,1,CLE,AL,N,100000.0,98.5576,-0.14,-0.14,98.5576,181344.29992348893
Beau Allred,26.0,110177.0,allrebe01,1991,1,CLE,AL,N,102500.0,91.6031,0.72,0.72,91.6031,178371.82452276067
Bill Almon,32.0,110181.0,almonbi01,1985,1,PIT,NL,N,255000.0,108.2203,1.55,1.55,108.2203,561703.8568773235
Bill Almon,33.0,110181.0,almonbi01,1986,1,PIT,NL,N,260000.0,91.6252,0.23,0.23,91.6252,562266.605839416
Bill Almon,34.0,110181.0,almonbi01,1987,1,PIT,NL,N,250000.0,29.951,-0.29,-0.16999999999999998,52.1576,521604.31338028173
Bill Almon,35.0,110181.0,almonbi01,1988,1,PHI,NL,N,250000.0,15.2821,-0.19,-0.19,15.2821,500881.23415046494
Erick Almonte,33.0,400095.0,almoner01,2011,1,MIL,NL,N,414000.0,-18.0541,-0.65,-0.65,-18.0541,436229.54667709913
Zoilo Almonte,25.0,501660.0,almonzo01,2014,1,NYY,AL,N,511300.0,0.6606,-0.49,-0.49,0.6606,511906.9009360638
Roberto Alomar,20.0,110183.0,alomaro01,1988,1,SDP,NL,N,62500.0,104.7438,4.35,4.35,104.7438,125220.30853761623
Roberto Alomar,21.0,110183.0,alomaro01,1989,1,SDP,NL,N,150000.0,106.5701,4.46,4.46,106.5701,286714.1129032258
Roberto Alomar,22.0,110183.0,alomaro01,1990,1,SDP,NL,N,390000.0,97.8846,3.41,3.41,97.8846,707242.7697016068
Roberto Alomar,23.0,110183.0,alomaro01,1991,1,TOR,AL,N,1300000.0,114.6902,4.57,4.57,114.6902,2262276.798825257
Roberto Alomar,24.0,110183.0,alomaro01,1992,1,TOR,AL,N,2983333.0,130.3583,6.64,6.64,130.3583,5039919.013977191
Roberto Alomar,25.0,110183.0,alomaro01,1993,1,TOR,AL,N,4933333.0,140.7171,6.12,6.12,140.7171,8091929.326373703
Roberto Alomar,26.0,110183.0,alomaro01,1994,1,TOR,AL,N,5433334.0,116.0113,2.25,2.25,116.0113,8689558.196207827
Roberto Alomar,27.0,110183.0,alomaro01,1995,1,TOR,AL,N,5500000.0,108.7602,2.7,2.7,108.7602,8553763.12335958
Roberto Alomar,28.0,110183.0,alomaro01,1996,1,BAL,AL,N,4279379.0,135.7419,5.28,5.28,135.7419,6464535.197214786
Roberto Alomar,29.0,110183.0,alomaro01,1997,1,BAL,AL,N,6354379.0,133.8624,3.43,3.43,133.8624,9383774.750423677
Roberto Alomar,30.0,110183.0,alomaro01,1998,1,BAL,AL,N,6343771.0,100.4251,3.77,3.77,100.4251,9224426.816607362
Roberto Alomar,31.0,110183.0,alomaro01,1999,1,CLE,AL,N,7049966.0,139.5379,7.42,7.42,139.5379,10029782.66159664
